ID;extnr;name;gruppe;einheit;inhalt;grundeinheit;mwst;dekp;vk;vkbrutto;vk1;konto_aufwand;konto_erloes;barcode;plu;mindestbestand;bestellmenge;haltbarkeit;text_etikett;kurzname;lieferant;lieferantname;lieferant_extnr;ekmwst;ek;ekbrutto;kassaartikel;produktionsstaette;produktionsdoku;beschreibung;volldeklaration;seriennummer;saisonal;bio;vegetarisch;gewicht;laenge;breite;hoehe;urprodukt;verfuegbar;jn1;jn2;jn3;jn4;shop_name;shop_name2;shop_ca_preis;shop_bestellende;shop_variantenartikel;etikett_extnr;etikett_text1;etikett_text2;etikett_text3;etikett_text4;etikett_text5;etikett_image1;etikett_image2;etikett_image3;lagerstand;lagerstand9
1664;34129;"Farfalle, semola 500g Byodo";187;Stück;500,000;g;7;1,67;2,171;2,32;0;0;0;4018462145609;0;0.000;0.000;0;;;100439;LANDLINIE;34129;7;1,67000;1,79;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;11;11
2699;;"Farmersalat 250g blattfrisch Mehrweg";256;Stück;1,000;Stück;7;0;4,2;4,49;0;0;0;4280001196681;0;0.000;0.000;0;;;100439;LANDLINIE;18600;7;3,23000;3,46;0;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1357;;"Fassbutter, natur 250 g";58;Stück;1,000;Stück;7;3,25;4,225;4,52;0;0;0;4250017300914;0;0.000;0.000;0;;;5;NKW;;7;3,25000;3,48;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3020;;"Federweißer 1l";11;Stück;1,000;l;19;3,09;4,02;4,78;0;0;0;;0;0.000;0.000;0;;;100439;LANDLINIE;53203;19;3,09000;3,68;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1046;;"Feigen - kg";184;kg;0,000;kg;7;4,72;5,9;6,31;0;0;0;;10427;0.000;0.000;0;;;6;köllektiv-migori;;7;4,72000;5,05;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1665;34042;"Feigensenf 125ml - Byodo";268;Stück;125,000;ml;7;2,16993;2,82;3,02;0;0;0;4018462161401;0;0.000;0.000;0;;;100439;LANDLINIE;34042;7;2,15000;2,30;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;8;8
2764;;"Feine Bitter 75% Cacao Panama 80 g";167;Stück;80,000;g;7;0;2,704;2,89;0;0;0;4044889002713;0;0.000;0.000;0;;;5;NKW;553790;7;2,08000;2,23;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2160;;"Feine Bitter 92% Cacao Panama 80g Vivani";167;Stück;80,000;g;7;2,52;3,28;3,51;0;0;0;4044889002249;0;0.000;0.000;0;;;5;NKW;634020;7;2,52000;2,70;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;9;9
3338;;"Feine Bitter Kuvertüre 70% Cacao 150g - Vivani";167;Stück;1,000;Stück;7;3,78;4,91;5,25;0;0;0;4044889005318;0;0.000;0.000;0;;;5;NKW;634048;7;3,78000;4,04;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;9;9
1588;;"Feine Bitter Kuvertüre Tafeln 200g";167;Stück;200,000;g;7;3,78;4,91589;5,26;0;0;0;4044889002225;0;0.000;0.000;0;;;5;NKW;634046;10;3,78000;4,16;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1812;;"Feine Bitter Orange 100g Vivani";167;Stück;100,000;g;7;1,89;2,46;2,63;0;0;0;4044889001013;0;0.000;0.000;0;;;5;NKW;553803;7;1,61000;1,72;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2882;;"Feine Bitter Orange 80g Vivani";167;Stück;80,000;g;7;2,08;2,704;2,89;0;0;0;4044889005219;0;0.000;0.000;0;;;5;NKW;553808;7;2,08000;2,23;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;11;11
2635;;"Feines Premium Bio-Meersalz 1kg";267;Stück;1,000;kg;7;1,84;2,392;2,56;0;0;0;4018462160374;0;0.000;0.000;0;;;100439;LANDLINIE;19222;7;1,84000;1,97;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;3;3
1873;;"Feldsalat - kg";63;kg;0,000;kg;7;15,99;21,59;23,10;0;0;0;4053656007431;0;0.000;0.000;0;;;100429;Bollheim;;7;13,10000;14,02;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0,224;0,224
3145;;"Feldsalat LINUS BESTE - kg";63;kg;0,000;kg;7;12,9;17,415;18,63;0;0;0;;0;0.000;0.000;0;;;100672;"Linus Beste";;7;12,90000;13,80;0;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1383;;"Fenchel - kg";63;kg;0,000;kg;7;2,39;3,23;3,46;0;0;0;;0;0.000;0.000;0;;;100429;Bollheim;E0111156E;7;3,48000;3,72;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0,092;0,092
1269;;"Fenchel Anis Kümmel Tee 50g · 20 Btl. Lebensbaum";148;Stück;50,000;g;7;1,65;2,15;2,30;0;0;0;4012346277004;0;0.000;0.000;0;;;5;NKW;741038;7;1,65000;1,77;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;11;11
2421;;"Feste Dusche 2 in 1 basis sensitiv Hydro Feeling 50g Lavera";240;Stück;50,000;g;19;2,08;2,704;3,22;0;0;0;4021457648030;0;0.000;0.000;0;;;5;NKW;662072;19;2,08000;2,48;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;2;2
2649;;"Feta Tasche DLS 305";31;Stück;1,000;Stück;7;2,33;3,22;3,45;0;0;0;;0;0.000;0.000;0;;;100529;DLS;305;7;2,48000;2,65;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
